episode,t,factory_stock,warehouse_stock_0,warehouse_stock_1,production_level,shippings_to_warehouse_0,shippings_to_warehouse_1,timestep_reward,total_reward
0,0,0.0,3.0,2.0,10,5.0,5.0,25.0,25.0
0,1,0.0,6.0,4.0,10,5.0,5.0,1.0,26.0
0,2,5.0,4.0,7.0,10,0.0,5.0,-98.0,-72.0
0,3,0.0,8.0,5.0,0,5.0,0.0,207.0,135.0
0,4,0.0,7.0,3.0,0,0.0,0.0,238.0,373.0
0,5,5.0,6.0,6.0,10,0.0,5.0,-196.0,177.0
0,6,5.0,5.0,4.0,0,0.0,0.0,230.0,407.0
0,7,0.0,4.0,6.0,0,0.0,5.0,296.0,703.0
0,8,5.0,7.0,4.0,10,5.0,0.0,-77.0,626.0
0,9,0.0,6.0,7.0,0,0.0,5.0,188.0,814.0
0,10,0.0,5.0,5.0,0,0.0,0.0,234.0,1048.0
0,11,0.0,4.0,2.0,0,0.0,0.0,350.0,1398.0
0,12,0.0,8.0,5.0,10,5.0,5.0,-203.0,1195.0
0,13,0.0,7.0,3.0,0,0.0,0.0,238.0,1433.0
0,14,5.0,6.0,6.0,10,0.0,5.0,-196.0,1237.0
0,15,5.0,5.0,4.0,0,0.0,0.0,230.0,1467.0
0,16,0.0,4.0,7.0,0,0.0,5.0,196.0,1663.0
0,17,5.0,8.0,4.0,10,5.0,0.0,-83.0,1580.0
0,18,0.0,7.0,6.0,0,0.0,5.0,284.0,1864.0
0,19,0.0,5.0,3.0,0,0.0,0.0,436.0,2300.0
0,20,5.0,4.0,6.0,10,0.0,5.0,-188.0,2112.0
0,21,0.0,8.0,3.0,0,5.0,0.0,313.0,2425.0
0,22,5.0,7.0,6.0,10,0.0,5.0,-200.0,2225.0
0,23,5.0,6.0,4.0,0,0.0,0.0,226.0,2451.0
0,24,0.0,5.0,7.0,0,0.0,5.0,192.0,2643.0
0,25,0.0,3.0,6.0,0,0.0,0.0,238.0,2881.0
0,26,5.0,7.0,4.0,10,5.0,0.0,-173.0,2708.0
0,27,0.0,6.0,6.0,0,0.0,5.0,288.0,2996.0
0,28,0.0,5.0,5.0,0,0.0,0.0,140.0,3136.0
0,29,0.0,4.0,3.0,0,0.0,0.0,250.0,3386.0
0,30,0.0,8.0,6.0,10,5.0,5.0,-209.0,3177.0
0,31,0.0,7.0,4.0,0,0.0,0.0,232.0,3409.0
0,32,5.0,5.0,7.0,10,0.0,5.0,-102.0,3307.0
0,33,5.0,4.0,6.0,0,0.0,0.0,128.0,3435.0
0,34,0.0,8.0,3.0,0,5.0,0.0,313.0,3748.0
0,35,5.0,6.0,6.0,10,0.0,5.0,-100.0,3648.0
0,36,5.0,5.0,3.0,0,0.0,0.0,330.0,3978.0
0,37,0.0,4.0,7.0,0,0.0,5.0,102.0,4080.0
0,38,5.0,8.0,4.0,10,5.0,0.0,-83.0,3997.0
0,39,0.0,6.0,7.0,0,0.0,5.0,284.0,4281.0
0,40,0.0,4.0,5.0,0,0.0,0.0,334.0,4615.0
0,41,5.0,8.0,3.0,10,5.0,0.0,-171.0,4444.0
0,42,0.0,7.0,6.0,0,0.0,5.0,190.0,4634.0
0,43,0.0,6.0,5.0,0,0.0,0.0,136.0,4770.0
0,44,0.0,5.0,2.0,0,0.0,0.0,346.0,5116.0
0,45,5.0,4.0,5.0,10,0.0,5.0,-182.0,4934.0
0,46,0.0,8.0,2.0,0,5.0,0.0,319.0,5253.0
0,47,5.0,7.0,6.0,10,0.0,5.0,-294.0,4959.0
0,48,5.0,6.0,4.0,0,0.0,0.0,226.0,5185.0
0,49,0.0,5.0,7.0,0,0.0,5.0,192.0,5377.0
1,0,0.0,4.0,3.0,10,5.0,5.0,-175.0,-175.0
1,1,0.0,8.0,5.0,10,5.0,5.0,-109.0,-284.0
1,2,0.0,6.0,3.0,0,0.0,0.0,338.0,54.0
1,3,5.0,5.0,7.0,10,0.0,5.0,-292.0,-238.0
1,4,5.0,3.0,5.0,0,0.0,0.0,328.0,90.0
1,5,0.0,6.0,2.0,0,5.0,0.0,423.0,513.0
1,6,5.0,4.0,4.0,10,0.0,5.0,14.0,527.0
1,7,5.0,8.0,7.0,10,5.0,5.0,-225.0,302.0
1,8,5.0,6.0,5.0,0,0.0,0.0,316.0,618.0
1,9,5.0,4.0,3.0,0,0.0,0.0,336.0,954.0
1,10,5.0,8.0,5.0,10,5.0,5.0,-119.0,835.0
1,11,5.0,7.0,3.0,0,0.0,0.0,228.0,1063.0
1,12,0.0,6.0,5.0,0,0.0,5.0,294.0,1357.0
1,13,0.0,5.0,3.0,0,0.0,0.0,246.0,1603.0
1,14,5.0,3.0,5.0,10,0.0,5.0,12.0,1615.0
1,15,0.0,7.0,2.0,0,5.0,0.0,323.0,1938.0
1,16,5.0,6.0,5.0,10,0.0,5.0,-190.0,1748.0
1,17,5.0,5.0,2.0,0,0.0,0.0,336.0,2084.0
1,18,0.0,3.0,5.0,0,0.0,5.0,308.0,2392.0
1,19,5.0,7.0,3.0,10,5.0,0.0,-167.0,2225.0
1,20,0.0,6.0,6.0,0,0.0,5.0,194.0,2419.0
1,21,0.0,5.0,4.0,0,0.0,0.0,240.0,2659.0
